tournament,timestamp,date_GMT,status,stadium_name,home_team_name,away_team_name,home_min_traded_price,home_max_traded_price,home_weighted_average_price,home_back_volume,draw_min_traded_price,draw_max_traded_price,draw_weighted_average_price,draw_back_volume,away_min_traded_price,away_max_traded_price,away_weighted_average_price,away_back_volume
FIFA World Cup,1402603200,Jun 12 2014 - 8:00pm,complete,Arena Corinthians,Brazil,Croatia,1.29,1.38,1.33,4189836.68,5.2,6.4,5.55,297003.57,9.6,16.5,14.28,200351.62
FIFA World Cup,1402675200,Jun 13 2014 - 4:00pm,complete,Arena das Dunas,Mexico,Cameroon,1.35,2.44,2.26,1099727.04,3.15,3.8,3.26,421669.66,3.4,5,4.03,420891.46
FIFA World Cup,1402686000,Jun 13 2014 - 7:00pm,complete,Arena Fonte Nova,Spain,Netherlands,1.35,2.42,1.86,3623801.09,3.15,3.8,3.5,427574.46,2.74,6,5.64,422030.08
FIFA World Cup,1402696800,Jun 13 2014 - 10:00pm,complete,Arena Pantanal,Chile,Australia,1.42,1.71,1.48,3995793.85,3.7,5,4.59,212819.54,5,11.5,9.56,240946.89
FIFA World Cup,1402761600,Jun 14 2014 - 4:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto,Colombia,Greece,1.54,1.98,1.92,1504036.77,3.25,3.9,3.36,295585.21,5.1,10,5.55,170081.99
FIFA World Cup,1402772400,Jun 14 2014 - 7:00pm,complete,EstÃ¡dio Governador PlÃ¡cido Aderaldo Castelo,Uruguay,Costa Rica,1.32,1.54,1.5,4355716.45,4.1,5.4,4.35,337926.02,7.8,16,9.77,167169.45
FIFA World Cup,1402783200,Jun 14 2014 - 10:00pm,complete,Arena da AmazÃ´nia (Manaus- Amazonas),England,Italy,2.52,3.85,2.67,3155964.14,3,3.35,3.1,1055106.39,2.4,3.55,3.31,1321730.45
FIFA World Cup,1402794000,Jun 15 2014 - 1:00am,complete,Itaipava Arena Pernambuco,Ivory Coast,Japan,2.34,2.98,2.81,382146.42,3.1,3.65,3.48,384219.27,2.72,3.35,2.79,387403.44
FIFA World Cup,1402848000,Jun 15 2014 - 4:00pm,complete,EstÃ¡dio Nacional de BrasÃ­lia (BrasÃ­lia- Distrito Federal),Switzerland,Ecuador,2.2,2.72,2.48,999937.08,3.1,3.45,3.34,321202.98,2.96,4.4,3.33,379647.22
FIFA World Cup,1402858800,Jun 15 2014 - 7:00pm,complete,EstÃ¡dio JosÃ© Pinheiro Borda,France,Honduras,1.26,1.44,1.29,3960143.97,3.8,7,6.28,167489.83,11,17.5,14.76,109013.22
FIFA World Cup,1402869600,Jun 15 2014 - 10:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Argentina,Bosnia-Herzegovina,1.11,1.58,1.35,4673955.23,3.95,6.2,5.89,221720.63,7.6,14,11.96,199214.63
FIFA World Cup,1402934400,Jun 16 2014 - 4:00pm,complete,Arena Fonte Nova,Germany,Portugal,1.72,2.3,2.09,3115797.16,2.96,4.1,3.67,535740.01,3.7,6.4,3.96,758382.8
FIFA World Cup,1402945200,Jun 16 2014 - 7:00pm,complete,EstÃ¡dio Joaquim AmÃ©rico GuimarÃ£es,Iran,Nigeria,3.75,5.6,5.06,336925.43,3.2,3.7,3.58,374088.97,1.85,2.34,1.91,3007548.96
FIFA World Cup,1402956000,Jun 16 2014 - 10:00pm,complete,Arena das Dunas,Ghana,USA,2.4,2.86,2.5,1824347.42,3,3.65,3.56,524793.13,2.92,3.3,3.13,650391.24
